ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E05013645,Mill Hill,E09000003,Barnet,6726,3617,2116,786,197,10
E05013646,Totteridge & Woodside,E09000003,Barnet,5650,3501,1567,466,104,12
E05013647,Underhill,E09000003,Barnet,4802,2307,1530,731,215,19
E05013648,West Finchley,E09000003,Barnet,7735,4007,2530,905,244,49
E05013649,West Hendon,E09000003,Barnet,6459,2715,2345,1072,301,26
E05013650,Whetstone,E09000003,Barnet,4307,2420,1291,454,132,10
E05013651,Woodhouse,E09000003,Barnet,5597,2667,1857,850,204,19
E05011217,Barnehurst,E09000004,Bexley,4417,2157,1493,617,140,10
E05011218,Belvedere,E09000004,Bexley,6767,3055,2412,1026,253,21
E05011219,Bexleyheath,E09000004,Bexley,6421,3178,2264,845,130,4
E05011220,Blackfen & Lamorbey,E09000004,Bexley,6235,3350,2056,706,115,8
E05011221,Blendon & Penhill,E09000004,Bexley,5974,3215,1961,687,108,3
E05011222,Crayford,E09000004,Bexley,6420,3012,2162,995,231,20
E05011223,Crook Log,E09000004,Bexley,6170,3271,2057,713,120,9
E05011224,East Wickham,E09000004,Bexley,6023,2877,2087,868,186,5
E05011225,Erith,E09000004,Bexley,5034,2257,1715,829,207,26
E05011226,Falconwood & Welling,E09000004,Bexley,6200,3208,2113,754,120,5
E05011227,Longlands,E09000004,Bexley,4205,2265,1353,467,117,3
E05011228,Northumberland Heath,E09000004,Bexley,4045,1812,1473,617,133,10
E05011229,St Mary's & St James,E09000004,Bexley,4380,2305,1436,519,113,7
E05011230,Sidcup,E09000004,Bexley,6701,3238,2287,949,212,15
E05011231,Slade Green & Northend,E09000004,Bexley,4734,1900,1610,885,317,22
E05011232,Thamesmead East,E09000004,Bexley,5712,2148,2152,1035,346,31
E05011233,West Heath,E09000004,Bexley,5851,2995,2005,710,127,14
E05013496,Alperton,E09000005,Brent,4482,1647,1768,837,210,20
E05013497,Barnhill,E09000005,Brent,3761,1563,1367,639,181,11
E05013498,Brondesbury Park,E09000005,Brent,5587,2587,1784,865,301,50
E05013499,Cricklewood & Mapesbury,E09000005,Brent,5653,2294,1984,998,333,44
E05013500,Dollis Hill,E09000005,Brent,7243,2475,2777,1455,481,55
E05013501,Harlesden & Kensal Green,E09000005,Brent,8028,2845,2982,1596,524,81
E05013502,Kenton,E09000005,Brent,5709,2525,2162,830,185,7
E05013503,Kilburn,E09000005,Brent,7642,3278,2644,1228,450,42
E05013504,Kingsbury,E09000005,Brent,3833,1670,1371,628,162,2
E05013505,Northwick Park,E09000005,Brent,3791,1785,1391,504,107,4
E05013506,Preston,E09000005,Brent,3882,1660,1360,636,208,18
E05013507,Queens Park,E09000005,Brent,7009,3616,2187,914,270,22
E05013508,Queensbury,E09000005,Brent,5269,2322,1983,798,160,6
E05013509,Roundwood,E09000005,Brent,6237,1987,2300,1380,521,49
E05013510,Stonebridge,E09000005,Brent,7226,2210,2749,1593,624,50
E05013511,Sudbury,E09000005,Brent,4304,1621,1688,789,192,14
E05013512,Tokyngton,E09000005,Brent,2814,1057,1122,507,123,5
E05013513,Welsh Harp,E09000005,Brent,6083,2237,2336,1187,303,20
E05013514,Wembley Central,E09000005,Brent,4938,1579,1979,1073,278,29
E05013515,Wembley Hill,E09000005,Brent,4778,1773,1878,904,207,16
E05013516,Wembley Park,E09000005,Brent,2689,1596,768,249,73,3
E05013517,Willesden Green,E09000005,Brent,7638,3039,2713,1413,436,37
E05013987,Beckenham Town & Copers Cope,E09000006,Bromley,7896,4664,2379,700,146,7
E05013988,Bickley & Sundridge,E09000006,Bromley,7179,4318,2139,603,110,9
E05013989,Biggin Hill,E09000006,Bromley,4326,2271,1523,474,57,1
E05013990,Bromley Common & Holwood,E09000006,Bromley,7683,4144,2315,960,250,14
E05013991,Bromley Town,E09000006,Bromley,6899,4066,2005,671,153,4
E05013992,Chelsfield,E09000006,Bromley,4489,2570,1392,451,73,3
E05013993,Chislehurst,E09000006,Bromley,6254,3747,1821,598,85,3
E05013994,Clock House,E09000006,Bromley,7373,4273,2139,767,181,13
E05013995,Crystal Palace & Anerley,E09000006,Bromley,5711,2856,1770,768,297,20
E05013996,Darwin,E09000006,Bromley,2184,1163,733,241,47,0
E05013997,Farnborough & Crofton,E09000006,Bromley,7113,3894,2328,769,115,7
E05013998,Hayes & Coney Hall,E09000006,Bromley,5845,3439,1790,550,61,5
E05013999,Kelsey & Eden Park,E09000006,Bromley,5996,3434,1829,611,116,6
E05014000,Mottingham,E09000006,Bromley,4640,2128,1518,748,236,10
E05014001,Orpington,E09000006,Bromley,4878,2488,1629,632,126,3
E05014002,Penge & Cator,E09000006,Bromley,8474,4250,2671,1150,372,31
E05014003,Petts Wood & Knoll,E09000006,Bromley,6727,4027,2071,535,87,7
E05014004,Plaistow,E09000006,Bromley,5206,2777,1652,600,168,9
E05014005,Shortlands & Park Langley,E09000006,Bromley,6902,4238,2035,535,88,6
E05014006,St Mary Cray,E09000006,Bromley,7680,3546,2585,1185,339,25
E05014007,St Paul's Cray,E09000006,Bromley,6689,2656,2265,1289,439,40
E05014008,West Wickham,E09000006,Bromley,5698,3270,1820,531,70,7
E05013652,Belsize,E09000007,Camden,5900,3543,1738,469,129,21
E05013653,Bloomsbury,E09000007,Camden,4757,2085,1733,710,201,28
E05013654,Camden Square,E09000007,Camden,3201,1435,1039,526,182,19
E05013655,Camden Town,E09000007,Camden,3025,1357,967,487,203,11
E05013656,Fortune Green,E09000007,Camden,5127,2655,1549,639,232,52
E05013657,Frognal,E09000007,Camden,3292,2079,902,234,64,13
E05013658,Gospel Oak,E09000007,Camden,5256,2225,1751,871,364,45
