ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05011218,Belvedere,E09000004,Bexley,17579,1195,1244,1184,952,1012,1292,1459,1409,1278,1137,1117,1069,932,685,594,426,309,285
E05011219,Bexleyheath,E09000004,Bexley,15877,880,947,956,753,768,849,1030,1036,1107,998,1070,1134,912,780,866,662,564,565
E05011220,Blackfen & Lamorbey,E09000004,Bexley,16113,863,977,989,895,934,931,967,1095,1003,993,1196,1161,1003,808,835,601,421,441
E05011221,Blendon & Penhill,E09000004,Bexley,15562,923,938,975,847,892,830,1012,1089,1018,1015,1108,1072,923,725,770,642,413,370
E05011222,Crayford,E09000004,Bexley,15894,978,1016,1061,954,847,1105,1307,1153,1121,1049,1138,1025,815,598,649,462,322,294
E05011223,Crook Log,E09000004,Bexley,15887,885,1038,980,803,769,872,1081,1253,1161,967,1126,1086,893,739,748,573,427,486
E05011224,East Wickham,E09000004,Bexley,16195,916,908,1037,928,822,938,1036,1287,1159,977,1184,1154,1020,720,719,539,438,413
E05011225,Erith,E09000004,Bexley,12806,1120,1106,950,712,666,957,1165,1078,897,851,720,708,517,385,328,228,217,201
E05011226,Falconwood & Welling,E09000004,Bexley,16584,957,1138,1099,896,830,976,1188,1356,1270,1053,1105,1113,931,795,683,430,386,378
E05011227,Longlands,E09000004,Bexley,10057,570,564,525,480,552,612,711,675,624,651,707,686,561,494,496,435,347,367
E05011228,Northumberland Heath,E09000004,Bexley,11044,639,767,842,723,633,654,700,741,743,735,818,745,617,521,437,308,243,178
E05011229,St Mary's & St James,E09000004,Bexley,10866,637,641,675,611,525,576,665,687,691,721,780,746,642,508,572,451,369,369
E05011230,Sidcup,E09000004,Bexley,15736,850,867,889,953,1089,978,1054,1036,1036,975,1014,989,854,686,768,598,474,626
E05011231,Slade Green & Northend,E09000004,Bexley,12879,960,1062,1102,877,810,839,930,919,971,945,916,821,586,367,279,174,175,146
E05011232,Thamesmead East,E09000004,Bexley,15939,1031,1244,1447,1179,946,1001,1043,1009,1159,1231,1290,1068,836,502,406,266,171,110
E05011233,West Heath,E09000004,Bexley,15677,887,918,972,889,837,775,924,1031,1084,995,1146,1221,917,768,838,592,463,420
E05013496,Alperton,E09000005,Brent,14996,930,920,933,905,1059,1396,1382,1310,1262,1017,941,830,636,488,343,291,185,168
E05013497,Barnhill,E09000005,Brent,11418,632,728,788,791,760,894,883,848,916,708,789,651,582,447,366,263,171,201
E05013498,Brondesbury Park,E09000005,Brent,13586,678,673,743,691,881,1269,1292,1088,1038,1002,860,830,707,555,440,299,262,278
E05013499,Cricklewood & Mapesbury,E09000005,Brent,13966,728,708,772,646,988,1451,1348,1341,1102,939,1044,798,634,488,413,252,165,149
