ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05013633,Colindale South,E09000003,Barnet,19001,1318,1120,1029,1006,1567,2177,2540,1968,1472,1163,979,792,587,410,319,212,174,168
E05013634,Cricklewood,E09000003,Barnet,10400,685,681,705,705,714,825,875,807,844,762,731,627,412,334,264,164,132,133
E05013635,East Barnet,E09000003,Barnet,18091,1257,1182,1199,1037,958,1101,1224,1240,1390,1305,1293,1200,1034,769,704,547,308,343
E05013636,East Finchley,E09000003,Barnet,16301,892,967,1035,870,851,1306,1280,1213,1335,1202,1160,1006,754,621,633,540,331,305
E05013637,Edgware,E09000003,Barnet,19786,1250,1460,1329,1050,1104,1282,1457,1593,1510,1286,1178,1106,993,857,828,571,399,533
E05013638,Edgwarebury,E09000003,Barnet,12358,755,1053,1088,827,648,720,765,792,824,788,815,750,648,574,486,354,222,249
E05013639,Finchley Church End,E09000003,Barnet,18822,1129,1197,1075,902,941,1248,1468,1495,1523,1252,1203,1088,877,848,881,678,471,546
E05013640,Friern Barnet,E09000003,Barnet,19079,1141,1266,1327,1097,900,1216,1369,1567,1626,1527,1373,1190,971,757,662,417,307,366
E05013641,Garden Suburb,E09000003,Barnet,12673,739,834,897,676,512,592,675,858,922,928,841,804,730,569,716,519,429,432
E05013642,Golders Green,E09000003,Barnet,15128,1409,1406,1287,932,879,1275,1140,1187,935,817,705,567,604,530,430,358,273,394
E05013643,Hendon,E09000003,Barnet,21985,1549,1534,1485,1191,1938,1950,1915,1755,1467,1425,1157,1037,947,769,667,510,293,396
E05013644,High Barnet,E09000003,Barnet,12010,640,705,690,624,573,664,673,772,876,886,846,878,758,617,619,440,311,438
E05013645,Mill Hill,E09000003,Barnet,17802,1139,1044,1176,1165,943,1101,1197,1359,1263,1252,1164,1134,957,746,747,580,402,433
E05013646,Totteridge & Woodside,E09000003,Barnet,14908,875,993,1010,728,643,915,1031,1136,1268,1073,926,859,811,658,746,496,325,415
E05013647,Underhill,E09000003,Barnet,12302,666,702,834,744,666,697,752,882,922,883,892,870,650,558,570,417,295,302
E05013648,West Finchley,E09000003,Barnet,19409,1255,1172,1195,826,919,1338,1682,1759,1716,1457,1362,1027,973,738,678,548,371,393
E05013649,West Hendon,E09000003,Barnet,17243,1019,872,938,792,1205,1670,1791,1512,1464,1187,1110,892,896,617,431,317,255,275
E05013650,Whetstone,E09000003,Barnet,10874,613,648,649,521,493,717,801,872,852,815,743,666,576,489,449,377,245,348
E05013651,Woodhouse,E09000003,Barnet,14170,663,820,917,741,726,1075,1059,1081,1164,1047,1002,1016,672,622,534,371,295,365
E05011217,Barnehurst,E09000004,Bexley,11711,745,812,747,688,590,700,828,849,826,725,803,785,606,553,519,369,299,267
